ID#,Balance,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
1,28143,174,1,0,0,7000
2,19244,215,2,0,0,6968
3,41354,4123,4,0,0,7034
4,14776,500,1,0,0,6952
5,97752,43300,26,2077,4,6935
6,16420,0,0,0,0,6942
7,84914,27482,25,0,0,6994
8,20856,5250,4,250,1,6938
9,443003,1753,43,3850,12,6948
10,104860,28426,28,1150,3,6931
11,40091,7278,10,0,0,6959
12,96522,61105,19,0,0,6924
13,43382,11150,20,0,0,6924
14,43097,3258,6,0,0,6918
15,17648,0,0,0,0,6912
16,28495,49442,15,0,0,6912
17,51890,48963,16,0,0,6910
18,13958,4291,5,0,0,6905
19,91473,27408,17,0,0,6903
20,23354,10447,5,0,0,6896
21,120576,58831,23,250,2,6896
22,185681,13300,16,1800,9,6896
23,20584,3450,11,3450,11,6884
24,66275,2533,11,150,1,6884
25,205651,4025,21,700,4,7932
26,20726,1375,4,0,0,7924
27,18521,1227,2,1227,2,7917
28,8828,0,0,0,0,7914
29,59763,33772,20,100,1,7907
30,19221,4655,8,500,1,7896
31,177926,20797,13,0,0,7886
32,10021,0,0,0,0,7879
33,276571,42044,23,0,0,7872
34,18047,100,1,0,0,7868
35,43832,0,0,0,0,7865
36,123759,50572,23,2500,5,7865
37,23193,650,4,550,3,7861
38,68666,350,2,350,2,7861
39,59990,27878,17,0,0,7854
40,2176,0,0,0,0,7847
41,34616,1750,4,500,1,7850
42,10470,38094,26,0,0,7840
43,60313,10000,26,3250,9,7829
44,619393,15008,14,0,0,7819
45,121260,18493,18,0,0,7808
46,288865,23600,14,2000,4,6884
47,92336,11214,6,0,0,6884
48,36924,5900,6,300,2,6879
49,70312,34678,24,500,1,6875
50,17051,1150,4,1150,4,6868
51,108137,6368,5,6368,5,6844
52,1300,370,1,0,0,6868
53,118531,44577,38,0,0,6868
54,121395,4970,8,650,2,6889
55,38348,0,0,0,0,6861
56,14448,1625,6,0,0,6856
57,75971,34339,14,0,0,6869
58,36298,3100,5,600,3,6865
59,38077,34024,8,0,0,6837
60,95118,23188,23,2200,7,6865
61,134457,15588,14,0,0,6861
62,19918,17601,11,0,0,6863
63,10120,0,0,0,0,6864
64,362642,28079,8,0,0,6835
65,80250,895,2,0,0,6833
66,53914,33767,45,5550,29,6826
67,9375,1750,7,0,0,6826
68,83237,35287,18,0,0,6837
69,230715,24047,12,0,0,6826
71,47457,12621,16,0,0,7766
72,84409,15436,16,1150,4,7766
73,252386,39787,13,0,0,7787
74,550367,12500,13,50,1,7801
75,12646,631,4,631,4,7787
76,123867,25308,17,0,0,7759
78,129871,15776,22,0,0,7752
79,109380,7537,16,0,0,7749
80,111157,32883,19,0,0,7771
81,49238,38037,18,0,0,7801
82,38896,76988,16,556,1,7771
83,4340,32685,5,0,0,7733
84,88443,1200,3,1200,3,6837
85,8454,498,9,0,0,6821
86,61990,1625,6,0,0,6833
87,24093,1750,7,0,0,6819
88,35418,58557,18,900,3,6813
89,40284,7719,5,0,0,6827
90,609477,21422,22,1200,8,6820
